,Sentence #,Word,POS,Tag
3324,,declined,VBD,O
3325,,to,TO,O
3326,,say,VB,O
3327,,whether,IN,O
3328,,a,DT,O
3329,,new,JJ,O
3330,,reactor,NN,O
3331,,is,VBZ,O
3332,,being,VBG,O
3333,,constructed,VBN,O
3334,,",",",",O
3335,,but,CC,O
3336,,she,PRP,O
3337,,said,VBD,O
3338,,the,DT,O
3339,,presence,NN,O
3340,,of,IN,O
3341,,a,DT,O
3342,,nuclear,JJ,O
3343,,weapons,NNS,O
3344,,program,NN,O
3345,,and,CC,O
3346,,facilities,NNS,O
3347,,at,IN,O
3348,,Khushab,NNP,B-geo
3349,,are,VBP,O
3350,,well,RB,O
3351,,known,VBN,O
3352,,.,.,O
3353,Sentence: 149,The,DT,O
3354,,American,NNP,B-org
3355,,Diabetes,NNP,I-org
3356,,Association,NNP,I-org
3357,,reports,VBZ,O
3358,,the,DT,O
3359,,disease,NN,O
3360,,is,VBZ,O
3361,,the,DT,O
3362,,leading,VBG,O
3363,,cause,NN,O
3364,,of,IN,O
3365,,new,JJ,O
3366,,cases,NNS,O
3367,,of,IN,O
3368,,blindness,NN,O
3369,,among,IN,O
3370,,adults,NNS,O
3371,,.,.,O
3372,Sentence: 150,It,PRP,O
3373,,is,VBZ,O
3374,,the,DT,O
3375,,leading,VBG,O
3376,,cause,NN,O
3377,,of,IN,O
3378,,kidney,NN,O
3379,,failure,NN,O
3380,,.,.,O
3381,Sentence: 151,The,DT,O
3382,,rate,NN,O
3383,,of,IN,O
3384,,amputation,NN,O
3385,,is,VBZ,O
3386,,10,CD,O
3387,,times,NNS,O
3388,,higher,JJR,O
3389,,among,IN,O
3390,,those,DT,O
3391,,who,WP,O
3392,,suffer,VBP,O
3393,,from,IN,O
3394,,the,DT,O
3395,,disease,NN,O
3396,,.,.,O
3397,Sentence: 152,Experts,NNS,O
3398,,say,VBP,O
3399,,those,DT,O
3400,,who,WP,O
3401,,learn,VBP,O
3402,,how,WRB,O
3403,,to,TO,O
3404,,manage,VB,O
3405,,the,DT,O
3406,,disease,NN,O
3407,,early,RB,O
3408,,",",",",O
3409,,can,MD,O
3410,,live,VB,O
3411,,healthier,JJR,O
3412,,and,CC,O
3413,,more,JJR,O
3414,,normal,JJ,O
3415,,lives,NNS,O
3416,,.,.,O
3417,Sentence: 153,VOA,NNP,B-org
3418,,'s,POS,O
3419,,June,NNP,B-per
3420,,Soh,NNP,I-per
3421,,found,VBD,O
3422,,camps,NNS,O
3423,,that,WDT,O
3424,,provide,VBP,O
3425,,children,NNS,O
3426,,with,IN,O
3427,,this,DT,O
3428,,chronic,JJ,O
3429,,disease,NN,O
3430,,a,DT,O
3431,,positive,JJ,O
3432,,approach,NN,O
3433,,to,TO,O
3434,,living,VBG,O
3435,,with,IN,O
3436,,diabetes,NNS,O
3437,,while,IN,O
3438,,letting,VBG,O
3439,,them,PRP,O
3440,,just,RB,O
3441,,be,VB,O
3442,,kids,NNS,O
3443,,.,.,O
3444,Sentence: 154,Amy,NNP,B-per
3445,,Katz,NNP,I-per
3446,,Narrates,VBZ,O
3447,,.,.,O
3448,Sentence: 155,Cuba,NNP,B-gpe
3449,,and,CC,O
3450,,Panama,NNP,B-gpe
3451,,have,VBP,O
3452,,said,VBN,O
3453,,they,PRP,O
3454,,will,MD,O
3455,,restore,VB,O
3456,,consular,JJ,O
3457,,relations,NNS,O
3458,,",",",",O
3459,,months,NNS,O
3460,,after,IN,O
3461,,Havana,NNP,B-gpe
3462,,broke,VBD,O
3463,,ties,NNS,O
3464,,with,IN,O
3465,,Panama,NNP,B-gpe
3466,,City,NNP,I-gpe
3467,,for,IN,O
3468,,pardoning,VBG,O
3469,,four,CD,O
3470,,men,NNS,O
3471,,convicted,VBN,O
3472,,in,IN,O
3473,,connection,NN,O
3474,,with,IN,O
3475,,an,DT,O
3476,,assassination,NN,O
3477,,attempt,NN,O
3478,,against,IN,O
3479,,Cuban,JJ,B-gpe
3480,,President,NNP,B-per
3481,,Fidel,NNP,I-per
3482,,Castro,NNP,I-per
3483,,.,.,O
3484,Sentence: 156,The,DT,O
3485,,countries,NNS,O
3486,,agreed,VBD,O
3487,,to,TO,O
3488,,reopen,VB,O
3489,,their,PRP$,O
3490,,consulates,NNS,O
3491,,",",",",O
3492,,following,VBG,O
3493,,a,DT,O
3494,,meeting,NN,O
3495,,Friday,NNP,B-tim
3496,,between,IN,O
3497,,Panamanian,JJ,B-gpe
3498,,President,NNP,B-per
3499,,Martin,NNP,I-per
3500,,Torrijos,NNP,I-per
3501,,and,CC,O
3502,,Cuban,JJ,B-gpe
3503,,Vice,NNP,B-per
3504,,President,NNP,I-per
3505,,Carlos,NNP,I-per
3506,,Lage,NNP,I-per
3507,,.,.,O
3508,Sentence: 157,The,DT,O
3509,,meeting,NN,O
3510,,took,VBD,O
3511,,place,NN,O
3512,,on,IN,O
3513,,the,DT,O
3514,,sidelines,NNS,O
3515,,of,IN,O
3516,,the,DT,O
3517,,Ibero-American,JJ,O
3518,,Summit,NNP,O
3519,,in,IN,O
3520,,San,NNP,B-geo
3521,,Jose,NNP,I-geo
3522,,",",",",O
3523,,Costa,NNP,B-geo
3524,,Rica,NNP,I-geo
3525,,",",",",O
3526,,where,WRB,O
3527,,heads,NNS,O
3528,,of,IN,O
3529,,state,NN,O
3530,,were,VBD,O
3531,,meeting,VBG,O
3532,,to,TO,O
3533,,discuss,VB,O
3534,,a,DT,O
3535,,candidate,NN,O
3536,,to,TO,O
3537,,head,VB,O
3538,,the,DT,O
3539,,Organization,NNP,B-org
3540,,of,IN,I-org
3541,,American,NNP,I-org
3542,,States,NNPS,I-org
3543,,and,CC,O
3544,,other,JJ,O
3545,,regional,JJ,O
3546,,issues,NNS,O
3547,,.,.,O
3548,Sentence: 158,Cuba,NNP,B-gpe
3549,,severed,VBD,O
3550,,ties,NNS,O
3551,,with,IN,O
3552,,Panama,NNP,B-gpe
3553,,in,IN,O
3554,,August,NNP,B-tim
3555,,",",",",O
3556,,hours,NNS,O
3557,,after,IN,O
3558,,Panamanian,JJ,B-gpe
3559,,President,NNP,B-per
3560,,Mireya,NNP,I-per
3561,,Moscoso,NNP,I-per
3562,,",",",",O
3563,,in,IN,O
3564,,her,PRP$,O
3565,,final,JJ,O
3566,,days,NNS,O
3567,,in,IN,O
3568,,office,NN,O
3569,,",",",",O
3570,,pardoned,VBD,O
3571,,the,DT,O
3572,,men,NNS,O
3573,,",",",",O
3574,,preventing,VBG,O
3575,,their,PRP$,O
3576,,extradition,NN,O
3577,,to,IN,O
3578,,Cuba,NNP,B-geo
3579,,.,.,O
3580,Sentence: 159,They,PRP,O
3581,,were,VBD,O
3582,,convicted,VBN,O
3583,,of,IN,O
3584,,plotting,VBG,O
3585,,to,TO,O
3586,,kill,VB,O
3587,,Mr.,NNP,B-per
3588,,Castro,NNP,I-per
3589,,during,IN,O
3590,,the,DT,O
3591,,2000,CD,B-tim
3592,,Ibero-American,JJ,O
3593,,summit,NN,O
3594,,in,IN,O
3595,,Panama,NNP,B-geo
3596,,City,NNP,I-geo
3597,,.,.,O
3598,Sentence: 160,The,DT,O
3599,,Israeli,JJ,B-gpe
3600,,army,NN,O
3601,,has,VBZ,O
3602,,killed,VBN,O
3603,,a,DT,O
3604,,Palestinian,JJ,B-gpe
3605,,youth,NN,O
3606,,in,IN,O
3607,,the,DT,O
3608,,northern,JJ,O
3609,,Gaza,NNP,B-geo
3610,,Strip,NNP,I-geo
3611,,and,CC,O
3612,,wounded,VBN,O
3613,,at,IN,O
3614,,least,JJS,O
3615,,three,CD,O
3616,,other,JJ,O
3617,,people,NNS,O
3618,,.,.,O
3619,Sentence: 161,The,DT,O
3620,,army,NN,O
3621,,says,VBZ,O
3622,,it,PRP,O
3623,,targeted,VBD,O
3624,,a,DT,O
3625,,man,NN,O
3626,,who,WP,O
3627,,was,VBD,O
3628,,collecting,VBG,O
3629,,a,DT,O
3630,,rocket,NN,O
3631,,launcher,NN,O
3632,,from,IN,O
3633,,an,DT,O
3634,,area,NN,O
3635,,used,VBN,O
3636,,to,TO,O
3637,,fire,VB,O
3638,,rockets,NNS,O
3639,,at,IN,O
3640,,Israel,NNP,B-geo
3641,,recently,RB,O
3642,,.,.,O
3643,Sentence: 162,Palestinian,JJ,B-gpe
3644,,medical,JJ,O
3645,,sources,NNS,O
3646,,say,VBP,O
3647,,the,DT,O
3648,,Israeli,JJ,B-gpe
3649,,strike,NN,O
3650,,killed,VBD,O
3651,,a,DT,O
3652,,teenager,NN,O
3653,,.,.,O
3654,Sentence: 163,The,DT,O
3655,,Israeli,JJ,B-gpe
3656,,military,NN,O
3657,,began,VBD,O
3658,,an,DT,O
3659,,offensive,NN,O
3660,,in,IN,O
3661,,Gaza,NNP,B-geo
3662,,after,IN,O
3663,,militants,NNS,O
3664,,kidnapped,VBD,O
3665,,an,DT,O
3666,,Israeli,JJ,B-gpe
3667,,soldier,NN,O
3668,,in,IN,O
3669,,June,NNP,B-tim
3670,,.,.,O
3671,Sentence: 164,More,JJR,O
3672,,than,IN,O
3673,,200,CD,O
3674,,Palestinians,NNS,B-gpe
3675,,have,VBP,O
3676,,been,VBN,O
3677,,killed,VBN,O
3678,,in,IN,O
3679,,the,DT,O
3680,,offensive,NN,O
3681,,.,.,O
3682,Sentence: 165,On,IN,O
3683,,Sunday,NNP,B-tim
3684,,",",",",O
3685,,Palestinian,JJ,B-gpe
3686,,Prime,NNP,B-per
3687,,Minister,NNP,I-per
3688,,Ismail,NNP,I-per
3689,,Haniyeh,NNP,I-per
3690,,said,VBD,O
3691,,his,PRP$,O
3692,,Hamas-led,JJ,O
3693,,government,NN,O
3694,,will,MD,O
3695,,not,RB,O
3696,,recognize,VB,O
3697,,Israel,NNP,B-gpe
3698,,.,.,O
3699,Sentence: 166,He,PRP,O
3700,,said,VBD,O
3701,,an,DT,O
3702,,Arab,JJ,B-gpe
3703,,peace,NN,O
3704,,plan,NN,O
3705,,for,IN,O
3706,,the,DT,O
3707,,region,NN,O
3708,,is,VBZ,O
3709,,problematic,JJ,O
3710,,because,IN,O
3711,,it,PRP,O
3712,,requires,VBZ,O
3713,,Palestinians,NNS,B-gpe
3714,,to,TO,O
3715,,recognize,VB,O
3716,,Israel,NNP,B-gpe
3717,,in,IN,O
3718,,exchange,NN,O
3719,,for,IN,O
3720,,an,DT,O
3721,,Israeli,JJ,B-gpe
3722,,pullout,NN,O
3723,,from,IN,O
3724,,Palestinian,JJ,B-gpe
3725,,territories,NNS,O
3726,,.,.,O
3727,Sentence: 167,He,PRP,O
3728,,spoke,VBD,O
3729,,after,IN,O
3730,,a,DT,O
3731,,week,NN,O
3732,,of,IN,O
3733,,deadly,JJ,O
3734,,political,JJ,O
3735,,infighting,NN,O
3736,,between,IN,O
3737,,Hamas,NNP,B-org
3738,,and,CC,O
3739,,the,DT,O
3740,,rival,JJ,O
3741,,Fatah,NNP,B-org
3742,,party,NN,O
3743,,of,IN,O
3744,,President,NNP,B-per
3745,,Mahmoud,NNP,I-per
3746,,Abbas,NNP,I-per
3747,,.,.,O
3748,Sentence: 168,U.S.,NNP,B-geo
3749,,automaker,NN,O
3750,,Chrysler,NNP,B-org
3751,,has,VBZ,O
3752,,opened,VBN,O
3753,,a,DT,O
3754,,$,$,O
3755,,570,CD,O
3756,,million,CD,O
3757,,engine,NN,O
3758,,plant,NN,O
3759,,in,IN,O
3760,,northern,JJ,O
3761,,Mexico,NNP,B-geo
3762,,.,.,O
3763,Sentence: 169,During,IN,O
3764,,the,DT,O
3765,,ceremonial,JJ,O
3766,,startup,NN,O
3767,,of,IN,O
3768,,the,DT,O
3769,,Saltillo,NNP,B-art
3770,,plant,NN,O
3771,,Friday,NNP,B-tim
3772,,",",",",O
3773,,Mexican,JJ,B-gpe
3774,,President,NNP,B-per
3775,,Felipe,NNP,I-per
3776,,Calderon,NNP,I-per
3777,,said,VBD,O
3778,,Chrysler,NNP,B-org
3779,,'s,POS,O
3780,,sixth,JJ,O
3781,,plant,NN,O
3782,,in,IN,O
3783,,Mexico,NNP,B-geo
3784,,will,MD,O
3785,,create,VB,O
3786,,700,CD,O
3787,,jobs,NNS,O
3788,,.,.,O
3789,Sentence: 170,Mr.,NNP,B-per
3790,,Calderon,NNP,I-per
3791,,said,VBD,O
3792,,Mexico,NNP,B-gpe
3793,,has,VBZ,O
3794,,become,VBN,O
3795,,a,DT,O
3796,,worldwide,JJ,O
3797,,leader,NN,O
3798,,in,IN,O
3799,,the,DT,O
3800,,auto,NN,O
3801,,industry,NN,O
3802,,.,.,O
3803,Sentence: 171,Chrysler,NNP,B-org
3804,,plans,VBZ,O
3805,,to,TO,O
3806,,build,VB,O
3807,,its,PRP$,O
3808,,new,JJ,O
3809,,fuel-efficient,JJ,O
3810,,Pentastar,NNP,B-art
3811,,V-6,NNP,I-art
3812,,engine,NN,O
3813,,for,IN,O
3814,,Chrysler,NNP,B-art
3815,,",",",",O
3816,,Dodge,NNP,B-art
3817,,",",",",O
3818,,Jeep,NNP,B-art
3819,,and,CC,O
3820,,Ram,NNP,B-art
3821,,vehicles,NNS,O
3822,,.,.,O
3823,Sentence: 172,Mexican,JJ,B-gpe
3824,,officials,NNS,O
3825,,say,VBP,O
3826,,the,DT,O
3827,,new,JJ,O
3828,,plant,NN,O
3829,,will,MD,O
3830,,have,VB,O
3831,,the,DT,O
3832,,capacity,NN,O
3833,,to,TO,O
3834,,build,VB,O
3835,,"4,40,000",CD,O
3836,,engines,NNS,O
3837,,per,IN,O
3838,,year,NN,O
3839,,.,.,O
3840,Sentence: 173,A,DT,O
3841,,U.S.,NNP,B-geo
3842,,jury,NN,O
3843,,has,VBZ,O
3844,,found,VBN,O
3845,,that,IN,O
3846,,drug,NN,O
3847,,maker,NN,O
3848,,Merck,NNP,B-org
3849,,is,VBZ,O
3850,,not,RB,O
3851,,liable,JJ,O
3852,,for,IN,O
3853,,the,DT,O
3854,,heart,NN,O
3855,,attack,NN,O
3856,,suffered,VBN,O
3857,,by,IN,O
3858,,a,DT,O
3859,,man,NN,O
3860,,taking,VBG,O
3861,,its,PRP$,O
3862,,painkiller,NN,O
3863,,Vioxx,NNP,B-art
3864,,.,.,O
3865,Sentence: 174,The,DT,O
3866,,New,NNP,B-geo
3867,,Jersey,NNP,I-geo
3868,,jurists,NNS,O
3869,,agreed,VBD,O
3870,,with,IN,O
3871,,Merck,NNP,B-org
3872,,that,IN,O
3873,,job,NN,O
3874,,stress,NN,O
3875,,and,CC,O
3876,,health,NN,O
3877,,risks,NNS,O
3878,,caused,VBD,O
3879,,the,DT,O
3880,,60-year,JJ,O
3881,,old,JJ,O
3882,,postal,JJ,O
3883,,worker,NN,O
3884,,to,TO,O
3885,,have,VB,O
3886,,a,DT,O
3887,,heart,NN,O
3888,,attack,NN,O
3889,,four,CD,O
3890,,years,NNS,O
3891,,ago,RB,O
3892,,.,.,O
3893,Sentence: 175,The,DT,O
3894,,plaintiff,NN,O
3895,,argued,VBD,O
3896,,Vioxx,NNP,B-org
3897,,was,VBD,O
3898,,responsible,JJ,O
3899,,.,.,O
3900,Sentence: 176,The,DT,O
3901,,jury,NN,O
3902,,also,RB,O
3903,,rejected,VBD,O
3904,,the,DT,O
3905,,man,NN,O
3906,,'s,POS,O
3907,,claim,NN,O
3908,,that,IN,O
3909,,Merck,NNP,B-org
3910,,failed,VBD,O
3911,,to,TO,O
3912,,properly,RB,O
3913,,warn,VB,O
3914,,users,NNS,O
3915,,about,IN,O
3916,,the,DT,O
3917,,drug,NN,O
3918,,'s,POS,O
3919,,risks,NNS,O
3920,,.,.,O
3921,Sentence: 177,Merck,NNP,B-org
3922,,withdrew,VBD,O
3923,,the,DT,O
3924,,popular,JJ,O
3925,,drug,NN,O
3926,,last,JJ,O
3927,,year,NN,O
3928,,after,IN,O
3929,,a,DT,O
3930,,study,NN,O
3931,,showed,VBD,O
3932,,it,PRP,O
3933,,doubled,VBD,O
3934,,the,DT,O
3935,,risk,NN,O
3936,,of,IN,O
3937,,heart,NN,O
3938,,problems,NNS,O
3939,,in,IN,O
3940,,long-term,JJ,O
3941,,users,NNS,O
3942,,.,.,O
3943,Sentence: 178,Merck,NNP,B-org
3944,,is,VBZ,O
3945,,facing,VBG,O
3946,,thousands,NNS,O
3947,,of,IN,O
3948,,other,JJ,O
3949,,lawsuits,NNS,O
3950,,over,IN,O
3951,,Vioxx,NNP,B-art
3952,,.,.,O
3953,Sentence: 179,Thursday,NNP,B-tim
3954,,'s,POS,O
3955,,verdict,NN,O
3956,,is,VBZ,O
3957,,only,RB,O
3958,,the,DT,O
3959,,second,NN,O
3960,,in,IN,O
3961,,a,DT,O
3962,,Vioxx,NNP,B-art
3963,,case,NN,O
3964,,.,.,O
3965,Sentence: 180,In,IN,O
3966,,the,DT,O
3967,,first,JJ,O
3968,,",",",",O
3969,,Merck,NNP,B-org
3970,,was,VBD,O
3971,,ordered,VBN,O
3972,,to,TO,O
3973,,pay,VB,O
3974,,millions,NNS,O
3975,,of,IN,O
3976,,dollars,NNS,O
3977,,to,TO,O
3978,,the,DT,O
3979,,widow,NN,O
3980,,of,IN,O
3981,,a,DT,O
3982,,Vioxx,NNP,B-art
3983,,user,NN,O
3984,,.,.,O
3985,Sentence: 181,Merck,NNP,B-org
3986,,is,VBZ,O
3987,,appealing,VBG,O
3988,,that,DT,O
3989,,decision,NN,O
3990,,.,.,O
3991,Sentence: 182,The,DT,O
3992,,rumors,NNS,O
3993,,are,VBP,O
3994,,TRUE,JJ,O
3995,,:,IN,O
3996,,Nicole,NNP,B-per
3997,,Ritchie,NNP,I-per
3998,,is,VBZ,O
3999,,pregnant,JJ,O
4000,,.,.,O
4001,Sentence: 183,Speaking,VBG,O
4002,,to,TO,O
4003,,ABC,NNP,B-org
4004,,News,NNP,I-org
4005,,interviewer,NN,O
4006,,Dianne,NNP,B-per
4007,,Sawyer,NNP,I-per
4008,,",",",",O
4009,,the,DT,O
4010,,25-year-old,JJ,O
4011,,co-star,NN,O
4012,,of,IN,O
4013,,TV,NN,O
4014,,'s,POS,O
4015,,The,DT,B-art
4016,,Simple,NNP,I-art
4017,,Life,NNP,I-art
4018,,said,VBD,O
4019,,she,PRP,O
4020,,is,VBZ,O
4021,,almost,RB,O
4022,,four,CD,O
4023,,months,NNS,O
4024,,along,IN,O
4025,,in,IN,O
4026,,her,PRP$,O
4027,,pregnancy,NN,O
4028,,.,.,O
4029,Sentence: 184,She,PRP,O
4030,,said,VBD,O
4031,,the,DT,O
4032,,father,NN,O
4033,,is,VBZ,O
4034,,her,PRP$,O
4035,,boyfriend,NN,O
4036,,",",",",O
4037,,Joel,NNP,B-per
4038,,Madden,NNP,I-per
4039,,of,IN,O
4040,,the,DT,O
4041,,rock,JJ,O
4042,,band,NN,O
4043,,Good,NNP,B-org
4044,,Charlotte,NNP,I-org
4045,,.,.,O
4046,Sentence: 185,Ritchie,NNP,B-per
4047,,also,RB,O
4048,,spoke,VBD,O
4049,,about,IN,O
4050,,her,PRP$,O
4051,,guilty,JJ,O
4052,,plea,NN,O
4053,,last,JJ,O
4054,,week,NN,O
4055,,to,TO,O
4056,,driving,VBG,O
4057,,under,IN,O
4058,,the,DT,O
4059,,influence,NN,O
4060,,and,CC,O
4061,,the,DT,O
4062,,resulting,VBG,O
4063,,four-day,JJ,O
4064,,jail,NN,O
4065,,sentence,NN,O
4066,,.,.,O
4067,Sentence: 186,"""",``,O
4068,,I,PRP,O
4069,,have,VBP,O
4070,,a,DT,O
4071,,responsibility,NN,O
4072,,and,CC,O
4073,,it,PRP,O
4074,,'s,VBZ,O
4075,,something,DT,O
4076,,that,IN,O
4077,,I,PRP,O
4078,,did,VBD,O
4079,,wrong,JJ,O
4080,,",",",",O
4081,,and,CC,O
4082,,if,IN,O
4083,,I,PRP,O
4084,,could,MD,O
4085,,personally,RB,O
4086,,apologize,VB,O
4087,,to,TO,O
4088,,every,DT,O
4089,,single,JJ,O
4090,,person,NN,O
4091,,that,WDT,O
4092,,has,VBZ,O
4093,,lost,VBN,O
4094,,a,DT,O
4095,,loved,JJ,O
4096,,one,CD,O
4097,,from,IN,O
4098,,drunk,JJ,O
4099,,driving,NN,O
4100,,",",",",O
4101,,I,PRP,O
4102,,would,MD,O
4103,,",",",",O
4104,,"""",``,O
4105,,she,PRP,O
4106,,said,VBD,O
4107,,.,.,O
4108,Sentence: 187,"""",``,O
4109,,And,CC,O
4110,,unfortunately,RB,O
4111,,I,PRP,O
4112,,ca,MD,O
4113,,n't,RB,O
4114,,",",",",O
4115,,but,CC,O
4116,,this,DT,O
4117,,is,VBZ,O
4118,,my,PRP$,O
4119,,way,NN,O
4120,,of,IN,O
4121,,paying,VBG,O
4122,,my,PRP$,O
4123,,dues,NNS,O
4124,,and,CC,O
4125,,taking,VBG,O
4126,,responsibility,NN,O
4127,,and,CC,O
4128,,being,VBG,O
4129,,an,DT,O
4130,,adult,NN,O
4131,,.,.,O
4132,,"""",``,O
4133,Sentence: 188,The,DT,O
4134,,interview,NN,O
4135,,airs,VBZ,O
4136,,August,NNP,B-tim
4137,,2,CD,I-tim
4138,,and,CC,O
4139,,3,CD,B-tim
4140,,on,IN,O
4141,,Good,NNP,B-art
4142,,Morning,NNP,I-art
4143,,America,NNP,I-art
4144,,",",",",O
4145,,and,CC,O
4146,,later,RB,O
4147,,August,NNP,B-tim
4148,,3,CD,I-tim
4149,,on,IN,O
4150,,20/20,NNP,B-art
4151,,.,.,O
4152,Sentence: 189,U.S.,NNP,B-gpe
4153,,Senator,NNP,B-per
4154,,John,NNP,I-per
4155,,Warner,NNP,I-per
4156,,of,IN,O
4157,,the,DT,O
4158,,southeastern,JJ,O
4159,,state,NN,O
4160,,of,IN,O
4161,,Virginia,NNP,B-geo
4162,,",",",",O
4163,,a,DT,O
4164,,prominent,JJ,O
4165,,Republican,JJ,O
4166,,figure,NN,O
4167,,in,IN,O
4168,,the,DT,O
4169,,debate,NN,O
4170,,over,IN,O
4171,,the,DT,O
4172,,war,NN,O
4173,,in,IN,O
4174,,Iraq,NNP,B-geo
4175,,",",",",O
4176,,says,VBZ,O
4177,,he,PRP,O
4178,,will,MD,O
4179,,retire,VB,O
4180,,after,IN,O
4181,,finishing,VBG,O
4182,,his,PRP$,O
4183,,term,NN,O
4184,,in,IN,O
4185,,2009,CD,B-tim
4186,,.,.,O
4187,Sentence: 190,Warner,NNP,B-per
4188,,told,VBD,O
4189,,supporters,NNS,O
4190,,outside,IN,O
4191,,of,IN,O
4192,,the,DT,O
4193,,University,NNP,B-org
4194,,of,IN,I-org
4195,,Virginia,NNP,I-org
4196,,Friday,NNP,B-tim
4197,,that,IN,O
4198,,he,PRP,O
4199,,will,MD,O
4200,,not,RB,O
4201,,seek,VB,O
4202,,a,DT,O
4203,,sixth,JJ,O
4204,,term,NN,O
4205,,in,IN,O
4206,,the,DT,O
4207,,2008,CD,B-tim
4208,,elections,NNS,O
4209,,.,.,O
4210,Sentence: 191,The,DT,O
4211,,former,JJ,O
4212,,chairman,NN,O
4213,,of,IN,O
4214,,the,DT,O
4215,,powerful,JJ,O
4216,,Senate,NNP,B-org
4217,,Armed,NNP,I-org
4218,,Services,NNP,I-org
4219,,Committee,NNP,I-org
4220,,has,VBZ,O
4221,,openly,RB,O
4222,,criticized,VBN,O
4223,,President,NNP,B-per
4224,,Bush,NNP,I-per
4225,,'s,POS,O
4226,,handling,NN,O
4227,,of,IN,O
4228,,the,DT,O
4229,,war,NN,O
4230,,in,IN,O
4231,,Iraq,NNP,B-geo
4232,,.,.,O
4233,Sentence: 192,He,PRP,O
4234,,called,VBD,O
4235,,on,IN,O
4236,,Mr.,NNP,B-per
4237,,Bush,NNP,I-per
4238,,earlier,RBR,O
4239,,this,DT,O
4240,,month,NN,O
4241,,to,TO,O
4242,,begin,VB,O
4243,,withdrawing,VBG,O
4244,,some,DT,O
4245,,U.S.,NNP,B-gpe
4246,,troops,NNS,O
4247,,from,IN,O
4248,,Iraq,NNP,B-geo
4249,,.,.,O
4250,Sentence: 193,His,PRP$,O
4251,,retirement,NN,O
4252,,will,MD,O
4253,,leave,VB,O
4254,,open,JJ,O
4255,,what,WP,O
4256,,would,MD,O
4257,,have,VB,O
4258,,been,VBN,O
4259,,a,DT,O
4260,,relatively,RB,O
4261,,safe,JJ,O
4262,,seat,NN,O
4263,,for,IN,O
4264,,Republicans,NNS,O
4265,,in,IN,O
4266,,the,DT,O
4267,,fight,NN,O
4268,,for,IN,O
4269,,Senate,NNP,B-org
4270,,control,NN,O
4271,,in,IN,O
4272,,the,DT,O
4273,,elections,NNS,O
4274,,.,.,O
4275,Sentence: 194,Democrats,NNS,O
4276,,will,MD,O
4277,,now,RB,O
4278,,have,VB,O
4279,,a,DT,O
4280,,better,JJR,O
4281,,chance,NN,O
4282,,to,TO,O
4283,,protect,VB,O
4284,,or,CC,O
4285,,expand,VB,O
4286,,their,PRP$,O
4287,,one-seat,JJ,O
4288,,majority,NN,O
4289,,in,IN,O
4290,,the,DT,O
4291,,Senate,NNP,B-org
4292,,.,.,O
4293,Sentence: 195,When,WRB,O
4294,,he,PRP,O
4295,,leaves,VBZ,O
4296,,office,NN,O
4297,,",",",",O
4298,,the,DT,O
4299,,80-year-old,JJ,O
4300,,former,JJ,O
4301,,Navy,NNP,B-org
4302,,secretary,NN,O
4303,,will,MD,O
4304,,have,VB,O
4305,,served,VBN,O
4306,,30,CD,O
4307,,years,NNS,O
4308,,as,IN,O
4309,,a,DT,O
4310,,U.S.,NNP,B-gpe
4311,,senator,NN,O
4312,,.,.,O
4313,Sentence: 196,The,DT,O
4314,,United,NNP,B-org
4315,,Nations,NNP,I-org
4316,,says,VBZ,O
4317,,December,NNP,B-tim
4318,,'s,POS,O
4319,,Indian,NNP,B-geo
4320,,Ocean,NNP,I-geo
4321,,tsunami,NN,O
4322,,caused,VBD,O
4323,,around,IN,O
4324,,$,$,O
4325,,520,CD,O
4326,,million,CD,O
4327,,in,IN,O
4328,,damage,NN,O
4329,,to,TO,O
4330,,fishing,NN,O
4331,,industries,NNS,O
4332,,in,IN,O
4333,,seven,CD,O
4334,,of,IN,O
4335,,the,DT,O
4336,,worst,RBS,O
4337,,hit,VBN,O
4338,,countries,NNS,O
4339,,.,.,O
4340,Sentence: 197,The,DT,O
4341,,U.N.,NNP,B-org
4342,,'s,POS,O
4343,,Food,NNP,B-org
4344,,and,CC,I-org
4345,,Agricultural,NNP,I-org
4346,,Organization,NNP,I-org
4347,,(,LRB,O
4348,,FAO,NNP,B-org
4349,,),RRB,O
4350,,said,VBD,O
4351,,the,DT,O
4352,,tsunami,NN,O
4353,,destroyed,VBD,O
4354,,or,CC,O
4355,,damaged,VBD,O
4356,,more,JJR,O
4357,,than,IN,O
4358,,"1,11,000",CD,O
4359,,fishing,NN,O
4360,,vessels,NNS,O
4361,,in,IN,O
4362,,the,DT,O
4363,,region,NN,O
4364,,.,.,O
4365,Sentence: 198,It,PRP,O
4366,,said,VBD,O
4367,,the,DT,O
4368,,loss,NN,O
4369,,was,VBD,O
4370,,significant,JJ,O
4371,,in,IN,O
4372,,a,DT,O
4373,,region,NN,O
4374,,where,WRB,O
4375,,fishing,NN,O
4376,,provides,VBZ,O
4377,,a,DT,O
4378,,vital,JJ,O
4379,,source,NN,O
4380,,of,IN,O
4381,,food,NN,O
4382,,.,.,O
4383,Sentence: 199,The,DT,O
4384,,FAO,NNP,B-org
4385,,'s,POS,O
4386,,estimate,NN,O
4387,,includes,VBZ,O
4388,,damage,NN,O
4389,,to,TO,O
4390,,fishing,NN,O
4391,,industries,NNS,O
4392,,in,IN,O
4393,,Indonesia,NNP,B-geo
4394,,",",",",O
4395,,Maldives,NNP,B-geo
4396,,",",",",O
4397,,Somalia,NNP,B-geo
